FOLIO,EDAD,SEXO,NSE,adophomo,matrimonio,Aborto
4183109,24,2,2,4,4,1
4183227,24,1,3,5,5,1
4183305,21,1,3,5,5,3
4183321,18,1,1,4,4,3
4183340,29,1,2,5,5,1
4183342,25,2,2,5,4,4
4183343,23,2,2,5,4,5
4183402,24,1,3,2,2,2
4183425,22,2,3,4,2,4
4183426,19,2,2,5,2,2
4183427,23,2,2,2,4,1
4183430,19,1,3,5,5,2
4183526,29,1,2,1,1,4
4183586,28,1,2,4,2,1
4183619,22,1,3,5,4,3
4183766,17,2,2,3,3,1
4183779,23,1,2,5,5,2
4183809,18,1,2,4,4,5
4183810,18,2,3,4,5,2
4183839,29,2,3,2,4,2
4183849,28,1,3,3,1,3
4183866,22,1,3,3,3,5
4183869,23,1,,5,5,4
4183920,17,1,2,5,5,2
4183966,23,2,2,5,5,2
4183967,29,2,2,5,1,1
4183968,28,2,2,5,1,3
4183969,21,1,2,5,3,2
4183972,20,2,2,5,5,1
4183973,20,2,2,5,4,2
4183997,21,2,2,4,3,2
4183998,27,2,2,1,1,2
4184008,24,1,3,5,3,1
